,Arctic herb subzone,northern Arctic dwarf shrub subzone,middle Arctic dwarf shrub subzone,southern Arctic dwarf shrub subzone,Arctic shrub subzone ,Adjacent non-Arctic (Boreal or Boreal-alpine) area,Species occurring in the Arctic,Arctic endemic species (A-E),Borderline species (bEN),Species occuring as stabilized introduction only,Species occuring as native and non native stabilized,Species occurring as non native stabilized and casual,Sspecies occurring as native and non native stabilized and casual,Species occurring both as native and casual,PAF code number of genus
4401 Claytonia,,,,,,,,,,,,,,,4401
440101 C. tuberosa,–,–,–,R,S,S,1,,,,,,,,
440102a C. multiscapa ssp. czukczorum,–,–,–,–,R,R,1,,,,,,,,
440103 C. acutifolia,–,–,?,F,F,F,1,,,,,,,,
440104 C. eschscholtzii,–,–,–,S,F,F,1,,,,,,,,
440105 C. joanneana,–,–,–,–,R,S,1,,,,,,,,
440106 C. arctica,–,–,R,S,S,R,1,,,,,,,,
440107 C. scammaniana,–,–,–,–,S,S,1,,,,,,,,
440108 C. sarmentosa,–,–,?,F,F,F,1,,,,,,,,
4402 Claytoniella,,,,,,,,,,,,,,,4402
440201 C. vassilievii,–,–,–,R,R,R,1,,,,,,,,
4403 Montia,,,,,,,,,,,,,,,4403
440301 M. fontana (ssp. fontana),–,–,?,S,F,F,1,,,,,,,,
45 SANTALACEAE,,,,,,,,,,,,,,,
4501 Geocaulon,,,,,,,,,,,,,,,4501
450101 G. lividum,–,–,–,–,R,F,1,,,,,,,,
46 PAEONIACEAE,,,,,,,,,,,,,,,
4601 Paeonia,,,,,,,,,,,,,,,4601
460101 P. anomala,–,–,–,–,R,F,1,,,,,,,,
47 CRASSULACEAE,,,,,,,,,,,,,,,
4702 Rhodiola,,,,,,,,,,,,,,,4702
470201 R. rosea,–,–,S,F,F,F,1,,,,,,,,
470202 R. integrifolia,–,–,–,R,F,F,1,,,,,,,,
470203 R. quadrifida,–,–,–,–,S,S,1,,,,,,,,
4703 Hylotelephium,,,,,,,,,,,,,,,4703
470301 H. telephium,–,–,–,–,R,S,1,,,,1,,,,
4704 Phedimus,,,,,,,,,,,,,,,4704
470401 P. kamtschaticus,–,–,–,–,R,S,1,,,,,,,,
470402 P. middendorffianus,–,–,–,–,b,S,1,,1,,,,,,
4705 Sedum,,,,,,,,,,,,,,,4705
470501 S. acre,–,–,–,R,F,F,1,,,,,,,,
470502 S. annuum,–,–,–,S,S,F,1,,,,,,,,
470503 S. villosum (ssp. villosum),–,–,R,F,F,F,1,,,,,,,,
48 HALORAGACEAE,,,,,,,,,,,,,,,
4801 Myriophyllum,,,,,,,,,,,,,,,4801
480101 M. alterniflorum,–,–,–,–,R,F,1,,,,,,,,
480102 M. verticillatum,–,–,–,–,R,S,1,,,,,,,,
480103 M. sibiricum,–,–,–,R,F,F,1,,,,,,,,
49 GROSSULARIACEAE,,,,,,,,,,,,,,,
4901 Ribes,,,,,,,,,,,,,,,4901
490101a R. spicatum ssp. lapponicum,–,–,–,–,S,F,1,,,,,,,,
490101b R. spicatum ssp. hispidulum,–,–,–,–,R,F,1,,,,,,,,
490102 R. triste,–,–,–,R,S,F,1,,,,,,,,
490103 R. nigrum,–,–,–,–,R,F,1,,,,,,,,
490104 R. dikuscha,–,–,–,–,*,R,1,,,1,,,,,
490105 R. glandulosum,–,–,–,–,R,F,1,,,,,,,,
490106 R. hudsonianum,–,–,–,–,R,F,1,,,,,,,,
490107 R. oxyacanthoides,–,–,–,–,R,S,1,,,,,,,,
490108 R. hirtellum,–,–,–,–,b,S,1,,1,,,,,,
490108 R. lacustre,–,–,–,–,R,S,1,,,,,,,,
50 SAXIFRAGACEAE,,,,,,,,,,,,,,,
5001 Boykinia,,,,,,,,,,,,,,,5001
500101 B. richardsonii,–,–,–,R,F,F,1,,,,,,,,
5002 Heuchera,,,,,,,,,,,,,,,5002
500201 H. glabra,–,–,–,–,R,F,1,,,,,,,,
5003 Mitella,,,,,,,,,,,,,,,5003
500301 M. nuda,–,–,–,–,R,F,1,,,,,,,,
5004 Leptarrhena,,,,,,,,,,,,,,,5004
500401 L. pyrolifolia,–,–,–,–,b,F,1,,1,,,,,,
5005 Chrysosplenium,,,,,,,,,,,,,,,5005
500501 C. rimosum,–,–,–,–,R,S,1,,,,,,,,
500502 C. wrightii,–,–,–,R,F,F,1,,,,,,,,
500503a C. alternifolium ssp. alternifolium,–,–,–,–,b,S,1,,1,,,,,,
500503b C. alternifolium ssp. sibiricum,–,–,R,S,F,F,1,,,,,,,,
500503c C. alternifolium ssp. arctomontanum,–,–,–,–,S,R,1,,,,,,,,
500504 C. tetrandrum,–,S,F,F,F,S,1,,,,,,,,
500505 C. rosendahlii,–,–,R,S,R,–,1,1,,,,,,,
5006 Saxifraga,,,,,,,,,,,,,,,5006
500601 S. spicata,–,–,–,–,S,S,1,,,,,,,,
500602 S. eschscholtzii,–,–,–,R,S,S,1,,,,,,,,
500603a S. serpyllifolia ssp. serpyllifolia,–,R,S,F,F,S,1,,,,,,,,
500603b S. serpyllifolia ssp. glutinosa,R,S,S,S,R,R,1,,,,,,,,
500604 S. hirculus,S,F,F,F,F,F,1,,,,,,,,
500605 S. setigera,–,–,S,F,F,F,1,,,,,,,,
500606 S. platysepala,S,F,F,S,R,R,1,,,,,,,,
500607a S. oppositifolia ssp. oppositifolia,F,F,F,F,F,F,1,,,,,,,,
500607b S. oppositifolia ssp. smalliana,F,F,F,F,F,F,1,,,,,,,,
500608 S. aizoides,–,S,F,F,F,F,1,,,,,,,,
500609 S. nathorstii,–,–,R,–,–,–,1,1,,,,,,,
500610 S. paniculata,–,–,R,F,F,F,1,,,,,,,,
500611 S. tricuspidata,R,F,F,F,F,F,1,,,,,,,,
500612 S. bronchialis,–,–,R,R,R,F,1,,,,,,,,
500613 S. stellerana,–,–,R,S,S,S,1,,,,,,,,
500614 S. balandinii,–,–,–,R,R,S,1,,,,,,,,
500615 S. caulescens,–,–,–,–,R,F,1,,,,,,,,
500616 S. omolojensis,–,–,–,–,R,F,1,,,,,,,,
500617 S. anadyrensis,–,–,–,–,R,S,1,,,,,,,,
500618 S. spinulosa,–,–,S,F,F,F,1,,,,,,,,
500619 S. funstonii,–,–,R,F,F,F,1,,,,,,,,
500620 S. codyana,–,–,–,–,S,R,1,,,,,,,,
500621 S. cherlerioides,–,–,–,–,R,S,1,,,,,,,,
500622a S. cespitosa ssp. cespitosa,F,F,F,F,F,F,1,,,,,,,,
500622b S. cespitosa ssp. monticola,–,–,–,R,S,S,1,,,,,,,,
500623 S. rosacea,–,–,–,–,R,R,1,,,,,,,,
500624 S. hypnoides,–,–,–,–,F,F,1,,,,,,,1,
500625 S. lactea,–,–,–,–,b,S,1,,1,,,,,,
500626 S. bracteata,–,–,–,R,S,S,1,,,,,,,,
500627 S. hyperborea,F,F,F,F,S,R,1,,,,,,,,
500628a S. rivularis ssp. rivularis,R,F,F,F,F,F,1,,,,,,,,
500628b S. rivularis ssp. arctolitoralis,–,–,R,S,S,–,1,1,,,,,,,
500629 S. radiata,–,–,–,F,F,F,1,,,,,,,,
500630 S. cernua,F,F,F,F,F,F,1,,,,,,,,
500631 S. svalbardensis,R,S,S,–,–,–,1,1,,,,,,,
5007 Micranthes,,,,,,,,,,,,,,,5007
500701 M. merkii (ssp. merkii),–,–,–,–,R,F,1,,,,,,,,
500702 M. stellaris (ssp. stellaris),–,–,–,S,F,F,1,,,,,,,,
500703 M. ferruginea,–,–,–,–,b,S,1,,1,,,,,,
500704 M. redofskyi,–,–,–,–,S,F,1,,,,,,,,
500705 M. foliolosa,S,F,F,F,F,S,1,,,,,,,,
500706 M. nudicaulis (ssp. nudicaulis),–,–,–,–,S,S,1,,,,,,,,
500707 M. punctata,–,–,–,R,F,F,1,,,,,,,,
500708 M. davurica,–,–,–,R,F,F,1,,,,,,,,
500709 M. reflexa,–,–,–,R,F,F,1,,,,,,,,
500710a M. nelsoniana ssp. nelsoniana,–,R,F,F,F,F,1,,,,,,,,
500710b M. nelsoniana ssp. aestivalis,–,–,–,?,R,F,1,,,,,,,,
500710c M. nelsoniana ssp. insularis,–,–,–,–,R,F,1,,,,,,,,
500711 M. porsildiana,–,–,–,–,S,F,1,,,,,,,,
500712a M. lyallii ssp. hultenii,–,–,–,–,R,S,1,,,,,,,,
500713 M. razshivinii,–,–,–,–,S,F,1,,,,,,,,
500714 M. calycina,–,–,–,R,S,F,1,,,,,,,,
500715 M. unalaschensis,–,–,–,–,R,F,1,,,,,,,,
500716 M. tenuis,S,F,F,F,F,S,1,,,,,,,,
500717 M. nivalis,S,F,F,F,F,F,1,,,,,,,,
500718a M. hieraciifolia ssp. hieraciifolia,–,R,F,F,F,S,1,,,,,,,,
500718b M. hieraciifolia ssp. longifolia,–,–,R,F,F,F,1,,,,,,,,
51 GERANIACEAE,,,,,,,,,,,,,,,
5101 Geranium,,,,,,,,,,,,,,,5101
510101 G. sylvaticum (ssp. sylvaticum),–,–,–,R,F,F,1,,,,,,,,
510102 G. krylovii,–,–,–,–,S,F,1,,,,,,,,
510103 G. pratense,–,–,–,–,R,S,1,,,,,,,,
510104 G. erianthum,–,–,–,–,R,F,1,,,,,,,,
52 ONAGRACEAE,,,,,,,,,,,,,,,
5201 Epilobium,,,,,,,,,,,,,,,5201
520101 E. palustre,–,–,–,S,F,F,1,,,,,,,,
520102 E. davuricum,–,–,–,?,F,F,1,,,,,,,,
520103 E. arcticum,R,S,F,F,S,R,1,,,,,,,,
520104 E. alsinifolium,–,–,–,R,F,F,1,,,,,,,,
520105a E. hornemannii ssp. hornemannii,–,–,?,S,F,F,1,,,,,,,,
520105b E. hornemannii ssp. behringianum,–,–,–,–,R,S,1,,,,,,,,
520106 E. lactiflorum,–,–,?,S,F,F,1,,,,,,,,
520107 E. anagallidifolium,–,–,R,F,F,F,1,,,,,,,,
520108a E. ciliatum ssp. ciliatum,–,–,–,–,R,S,1,,,,1,,,,
520108b E. ciliatum ssp. glandulosum,–,–,–,–,R,F,1,,,,,,,,
520109 E. montanum,–,–,–,–,R,F,1,,,,,,,,
520110 E. collinum,–,–,–,–,R,S,1,,,,,,,,
5202 Chamerion,,,,,,,,,,,,,,,5202
520201a C. angustifolium ssp. angustifolium,–,–,–,S,F,F,1,,,,,,,,
520201b C. angustifolium ssp. circumvagum,–,–,–,–,R,S,1,,,,,,,,
520202 C. latifolium,R,F,F,F,F,F,1,,,,,,,,
5203 Circaea,,,,,,,,,,,,,,,5203
520301 C. alpina (ssp. alpina),–,–,–,–,b,F,1,,1,,,,,,
53 PARNASSIACEAE,,,,,,,,,,,,,,,
5301 Parnassia,,,,,,,,,,,,,,,5301
530101 P. palustris,–,–,–,S,F,F,1,,,,,,,,
530102 P. kotzebuei,–,–,?,F,F,F,1,,,,,,,,
54 OXALIDACEAE,,,,,,,,,,,,,,,
5401 Oxalis,,,,,,,,,,,,,,,5401
540101 O. acetosella,–,–,–,–,b,F,1,,1,,,,,,
55 EUPHORBIACEAE,,,,,,,,,,,,,,,
5501 Euphorbia,,,,,,,,,,,,,,,5501
550101 E. discolor,–,–,–,–,b,S,1,,1,,,,,,
550102 E. esula,–,–,–,–,b,S,1,,1,,,,,,
56 LINACEAE,,,,,,,,,,,,,,,
5601 Linum,,,,,,,,,,,,,,,5601
560101 L. catharticum,–,–,–,–,R,S,1,,,,,,,,
560102 L. boreale,–,–,–,–,R,S,1,,,,,,,,
560103 L. taymirense,–,–,–,–,R,S,1,,,,,,,,
560104 L. komarovii,–,–,–,–,R,S,1,,,,,,,,
560105a L. lewisii ssp. lewisii,–,–,–,–,R,F,1,,,,,,,,
560105b L. lewisii ssp. lepagei,–,–,–,–,R,S,1,,,,,,,,
57 VIOLACEAE,,,,,,,,,,,,,,,
5701 Viola,,,,,,,,,,,,,,,5701
570101 V. riviniana,–,–,–,–,R,S,1,,,,,,,,
570102 V. canina,–,–,–,–,S,F,1,,,,,,,,
570103a V. rupestris ssp. rupestris,–,–,–,–,R,S,1,,,,,,,,
570103b V. rupestris ssp. relicta,–,–,–,–,R,F,1,,,,,,,,
570104 V. adunca,–,–,–,–,R,F,1,,,,,,,,
570105 V. conspersa,–,–,–,–,R,S,1,,,,,,,,
570106 V. langsdorffii,–,–,–,–,S,F,1,,,,,,,,
570107 V. selkirkii,–,–,–,–,R,S,1,,,,,,,,
570108 V. pallens,–,–,–,–,R,S,1,,,,,,,,
570109 V. renifolia,–,–,–,–,R,F,1,,,,,,,,
570110 V. palustris (ssp. palustris),–,–,–,R,F,F,1,,,,,,,,
570111a V. epipsila ssp. epipsila,–,–,–,R,F,F,1,,,,,,,,
570111b V. epipsila ssp. repens,–,–,–,S,F,F,1,,,,,,,,
570112a V. biflora ssp. biflora,–,–,–,F,F,F,1,,,,,,,,
570112b V. biflora ssp. avatschensis,–,–,–,–,R,S,1,,,,,,,,
570113 V. uniflora,–,–,–,–,b,S,1,,1,,,,,,
570114 V. tricolor,–,–,–,–,b,F,1,,1,,1,,,,
58 SALICACEAE,,,,,,,,,,,,,,,
5801 Populus,,,,,,,,,,,,,,,5801
580101 P. balsamifera,–,–,–,–,R,F,1,,,,,,,,
580102 P. suaveolens,–,–,–,–,R,F,1,,,,,,,,
580103 P. tremula,–,–,–,–,R,F,1,,,,,,,,
580104 P. tremuloides,–,–,–,–,R,F,1,,,,,,,,
5802 Chosenia,,,,,,,,,,,,,,,5802
580201 C. arbutifolia,–,–,–,–,R,F,1,,,,,,,,
5803 Salix,,,,,,,,,,,,,,,5803
580301a S. triandra ssp. discolor,–,–,–,–,R,S,1,,,,,,,,
580302 S. pentandra,–,–,–,–,b,F,1,,1,,,,,,
580303 S. pseudopentandra,–,–,–,–,b,F,1,,1,,,,,,
580304 S. serissima,–,–,–,–,b,F,1,,1,,,,,,
580305a S. exigua ssp. interior,–,–,–,–,R,F,1,,,,,,,,
580306 S. reticulata,–,–,S,F,F,F,1,,,,,,,,
580307 S. vestita,–,–,–,–,R,F,1,,,,,,,,
580308 S. herbacea,–,R,S,F,F,S,1,,,,,,,,
580309 S. polaris,R,F,F,F,S,R,1,,,,,,,,
580310 S. nummularia,–,–,F,F,F,S,1,,,,,,,,
580311a S. glauca ssp. glauca,–,–,–,–,S,F,1,,,,,,,,
580311b S. glauca ssp. stipulifera,–,–,–,R,F,F,1,,,,,,,,
580311c S. glauca ssp. acutifolia,–,–,–,?,S,F,1,,,,,,,,
580311d S. glauca ssp. callicarpaea,–,–,R,S,F,F,1,,,,,,,,
580312 S. reptans,R,S,F,F,F,S,1,,,,,,,,
580313 S. brachycarpa,–,–,–,–,R,F,1,,,,,,,,
580314 S. niphoclada,–,–,–,R,S,F,1,,,,,,,,
580315 S. arctica,–,S,F,F,F,F,1,,,,,,,,
580316a S. sphenophylla ssp. sphenophylla,–,–,–,–,F,F,1,,,,,,,,
580316b S. sphenophylla ssp. pseudotorulosa,–,–,–,–,F,S,1,,,,,,,,
580317 S. ovalifolia,–,–,R,F,F,S,1,,,,,,,,
580318 S. myrtilloides,–,–,–,R,S,F,1,,,,,,,,
580319 S. pedicellaris,–,–,–,–,R,F,1,,,,,,,,
580320 S. fuscescens,–,–,–,R,F,F,1,,,,,,,,
580321 S. phlebophylla,–,–,R,F,F,S,1,,,,,,,,
580322a S. rotundifolia ssp. rotundifolia,–,–,R,F,F,R,1,,,,,,,,
580322b S. rotundifolia ssp. dodgeana,–,–,–,–,R,S,1,,,,,,,,
580323 S. recurvigemmis,–,–,–,R,S,S,1,,,,,,,,
580324 S. myrsinites,–,–,R,F,F,F,1,,,,,,,,
580325 S. tschuktschorum,–,–,R,F,F,F,1,,,,,,,,
580326a S. berberifolia ssp. fimbriata,–,–,–,S,S,F,1,,,,,,,,
580326b S. berberifolia ssp. kamtschatica,–,–,–,–,R,S,1,,,,,,,,
580327 S. saxatilis,–,–,–,S,F,F,1,,,,,,,,
580328 S. uva–ursi,–,–,–,–,S,F,1,,,,,,,,
580329 S. chamissonis,–,–,–,R,S,S,1,,,,,,,,
580330 S. arctophila,–,R,R,F,F,S,1,,,,,,,,
580331 S. jenisseensis,–,–,–,R,S,F,1,,,,,,,,
580332 S. cordata,–,–,–,–,R,F,1,,,,,,,,
580333 S. barclayi,–,–,–,–,R,F,1,,,,,,,,
580334 S. hastata,–,–,–,S,F,F,1,,,,,,,,
580335 S. myrtillifolia,–,–,–,–,R,F,1,,,,,,,,
580336 S. ballii,–,–,–,–,R,F,1,,,,,,,,
580337 S. pseudomonticola,–,–,–,–,R,F,1,,,,,,,,
580338 S. pyrolifolia,–,–,–,–,R,S,1,,,,,,,,
580339 S. lanata,–,–,R,F,F,F,1,,,,,,,,
580340 S. calcicola,–,–,R,S,F,R,1,,,,,,,,
580341 S. richardsonii,–,–,R,F,F,F,1,,,,,,,,
580342 S. barrattiana,–,–,–,–,R,F,1,,,,,,,,
580343 S. acutifolia,–,–,–,–,R,S,1,,,,,,,,
580344 S. arbuscula,–,–,–,R,R,F,1,,,,,,,,
580345 S. arbusculoides,–,–,–,R,S,F,1,,,,,,,,
580346 S. boganidensis,–,–,–,S,F,F,1,,,,,,,,
580347 S. phylicifolia,–,–,–,S,F,F,1,,,,,,,,
580348a S. pulchra var. pulchra,–,–,–,R,F,F,1,,,,,,,,
580348b S. pulchra var. yukonensis,–,–,–,–,R,S,1,,,,,,,,
580349 S. planifolia,–,–,–,R,S,F,1,,,,,,,,
580350 S. pellita,–,–,–,–,R,F,1,,,,,,,,
580351 S. tyrrellii,–,–,–,–,R,F,1,,,,,,,,
580352 S. rhamnifolia,–,–,–,–,R,F,1,,,,,,,,
580353 S. myrsinifolia,–,–,–,–,S,F,1,,,,1,,,,
580354 S. caprea (ssp. caprea),–,–,–,–,R,F,1,,,,,,,,
580355 S. bebbiana,–,–,–,R,R,F,1,,,,,,,,
580356 S. krylovii,–,–,–,R,S,F,1,,,,,,,,
580357 S. candida,–,–,–,–,R,F,1,,,,,,,,
580358 S. lapponum,–,–,–,R,F,F,1,,,,,,,,
580359 S. alaxensis,–,–,–,R,F,F,1,,,,,,,,
580360 S. viminalis,–,–,–,R,S,F,1,,,,,,,,
580361 S. schwerinii,–,–,–,–,R,F,1,,,,,,,,
580362 S. burjatica,–,–,–,R,S,F,1,,,,,,,,
580363 S. udensis,–,–,–,–,R,F,1,,,,,,,,
580364 S. argyrocarpa,–,–,–,–,R,F,1,,,,,,,,
580365 S. rosmarinifolia,–,–,–,–,R,S,1,,,,,,,,
59 ELATINACEAE,,,,,,,,,,,,,,,
5901 Elatine,,,,,,,,,,,,,,,5901
590101 E. triandra,–,–,–,–,R,R,1,,,,,,,,
60 MYRICACAE,,,,,,,,,,,,,,,
6001 Myrica,,,,,,,,,,,,,,,6001
600101a M. gale ssp. gale,–,–,–,–,R,F,1,,,,,,,,
600101b M. gale ssp. tomentosa,–,–,–,–,R,F,1,,,,,,,,
61 BETULACEAE,,,,,,,,,,,,,,,
6101 Alnus,,,,,,,,,,,,,,,6101
610101a A. viridis ssp. crispa,–,–,–,–,S,F,1,,,,,,,,
610101b A. viridis ssp. fruticosa,–,–,–,–,S,F,1,,,,,,,,
610101c A. viridis ssp. sinuata,–,–,–,–,R,F,1,,,,,,,,
610102a A. incana ssp. incana,–,–,–,–,b,F,1,,1,,,,,,
610102b A. incana ssp. kolaensis,–,–,–,–,b,F,1,,1,,,,,,
610102d A. incana ssp. tenuifolia,–,–,–,–,R,F,1,,,,,,,,
610102e A. incana ssp. rugosa,–,–,–,–,b,F,1,,1,,,,,,
6102 Betula,,,,,,,,,,,,,,,6102
610201 B. pendula,–,–,–,–,b,F,1,,1,,,,,,
610202 B. platyphylla,–,–,–,–,R,R,1,,,,,,,,
610203 B. neoalaskana,–,–,–,–,R,F,1,,,,,,,,
610204 B. papyrifera,–,–,–,–,R,F,1,,,,,,,,
610205 B. kenaica,–,–,–,–,R,F,1,,,,,,,,
610206a B. pubescens ssp. pubescens,–,–,–,–,R,F,1,,,,,,,,
610206b B. pubescens ssp. tortuosa,–,–,–,?,F,F,1,,,,,,,,
610207 B. minor,–,–,–,R,F,F,1,,,,,,,,
610208 B. fruticosa,–,–,–,–,R,R,1,,,,,,,,
610209 B. pumila,–,–,–,–,R,F,1,,,,,,,,
610210 B. glandulosa,–,–,?,S,F,F,1,,,,,,,,
610211 B. middendorffii,–,–,–,R,S,F,1,,,,,,,,
610212a B. nana ssp. nana,–,–,R,F,F,F,1,,,,,,,,
610212b B. nana ssp. exilis,–,–,R,S,F,F,1,,,,,,,,
62 POLYGALACEAE,,,,,,,,,,,,,,,
6201 Polygala,,,,,,,,,,,,,,,6201
620101 P. serpyllifolia,–,–,–,–,R,F,1,,,,,,,,
620102 P. hybrida,–,–,–,–,R,F,1,,,,,,,,
63 FABACEAE,,,,,,,,,,,,,,,
6301 Lupinus,,,,,,,,,,,,,,,6301
630101 L. arcticus (ssp. arcticus),–,–,R,F,F,F,1,,,,,,,,
630102 L. nootkatensis,–,–,–,–,R,F,1,,,,1,,,,
6302 Melilotus,,,,,,,,,,,,,,,6302
630201 M. albus,–,–,–,–,*,*,1,,,,,1,,,
6303 Trifolium,,,,,,,,,,,,,,,6303
630301 T. lupinaster,–,–,–,R,S,F,1,,,,,,,1,
630302 T. repens,–,–,**,–,S,F,1,,,,,,1,,
630303 T. hybridum (ssp. hybridum),–,–,**,**,*,*,1,,,,,1,,,
630304 T. montanum,–,–,–,–,*,R,1,,,1,,,,,
630305 T. pratense,–,–,–,–,*,F,1,,,1,,,,,
6304 Caragana,,,,,,,,,,,,,,,6304
630401 C. jubata,–,–,–,–,R,R,1,,,,,,,,
6305 Astragalus,,,,,,,,,,,,,,,6305
630501a A. frigidus ssp. frigidus,–,–,–,S,F,F,1,,,,,,,,
630501b A. frigidus ssp. parviflorus,–,–,–,S,F,F,1,,,,,,,,
630502 A. umbellatus,–,–,R,F,F,F,1,,,,,,,,
630503 A. americanus,–,–,–,–,b,S,1,,1,,,,,,
630504a A. alpinus ssp. alpinus,–,–,R,F,F,F,1,,,,,,,1,
630504b A. alpinus var. arcticus,–,–,R,F,F,F,1,,,,,,,,
630504c A. alpinus ssp. alaskanus,–,–,–,–,R,F,1,,,,,,,,
630505 A. norvegicus,–,–,–,S,F,F,1,,,,,,,,
630506 A. sealei,–,–,–,R,S,R,1,,,,,,,,
630507 A. eucosmus,–,–,–,?,F,F,1,,,,,,,,
630508a A. robbinsii ssp. robbinsii,–,–,–,–,R,R,1,,,,,,,,
630509 A. gorodkovii,–,–,–,–,R,–,1,1,,,,,,,
630510 A. tugarinovii,–,–,–,S,F,F,1,,,,,,,,
630511 A. kolymensis,–,–,?,F,F,F,1,,,,,,,,
630512 A. lepagei,–,–,–,R,F,F,1,,,,,,,,
630513 A. aboriginum,–,–,–,–,S,F,1,,,,,,,,
630514 A. tolmaczevii,–,–,R,F,F,F,1,,,,,,,,
630515 A. richardsonii,–,–,S,S,S,R,1,,,,,,,,
630516 A. williamsii,–,–,–,–,b,S,1,,1,,,,,,
630517 A. vallicola,–,–,–,–,R,R,1,,,,,,,,
630518 A. polaris,–,–,–,S,S,S,1,,,,,,,,
630519 A. bodinii,–,–,–,–,R,S,1,,,,,,,,
630520 A. nutzotinensis,–,–,–,?,S,S,1,,,,,,,,
630521 A. agrestis,–,–,–,–,b,S,1,,1,,,,,,
630522 A. schelichovii,–,–,–,?,F,F,1,,,,,,,,
630523 A. pseudadsurgens,–,–,?,S,S,S,1,,,,,,,,
630524a A. inopinatus ssp. oreogenus,–,–,–,–,R,S,1,,,,,,,,
630525 A. igoshinae,–,–,–,–,R,–,1,1,,,,,,,
6306 Oxytropis,,,,,,,,,,,,,,,6306
630601a O. deflexa ssp. deflexa,–,–,–,–,R,S,1,,,,,,,,
630601b O. deflexa ssp. foliolosa,–,–,?,R,F,F,1,,,,,,,,
630601c O. deflexa ssp. retrorsa,–,–,–,–,b,S,1,,1,,,,,,
630602 O. nigrescens,–,R,F,F,F,F,1,,,,,,,,
630603 O. czukotica,–,–,S,F,F,F,1,,,,,,,,
630604 O. bryophila,–,–,–,S,F,F,1,,,,,,,,
630605 O. kokrinensis,–,–,–,?,R,S,1,,,,,,,,
630606 O. gorodkovii,–,–,R,F,F,R,1,,,,,,,,
630607 O. arctobia,–,?,F,F,F,R,1,,,,,,,,
630608 O. pumilio,–,–,–,–,b,S,1,,1,,,,,,
630609 O. sublongipes,–,–,–,–,R,R,1,,,,,,,,
630610 O. revoluta,–,–,–,–,R,S,1,,,,,,,,
630611 O. podocarpa,–,–,–,S,S,S,1,,,,,,,,
630612 O. scammaniana,–,–,–,–,S,S,1,,,,,,,,
630613 O. mertensiana,–,–,S,F,F,S,1,,,,,,,,
630614a O. adamsiana ssp. adamsiana,–,–,R,F,F,S,1,,,,,,,,
630614b O. adamsiana ssp. janensis,–,–,–,–,R,S,1,,,,,,,,
630615a O. vassilczenkoi ssp. vassilczenkoi,–,–,?,F,F,S,1,,,,,,,,
630615b O. vassilczenkoi ssp. substepposa,–,–,–,S,F,F,1,,,,,,,,
630616 O. uschakovii,–,–,R,R,–,–,1,1,,,,,,,
630617 O. semiglobosa,–,–,?,S,S,S,1,,,,,,,,
630618 O. ochotensis,–,–,–,S,S,R,1,,,,,,,,
630619a O. maydelliana ssp. maydelliana,–,–,F,F,F,F,1,,,,,,,,
630619b O. maydelliana ssp. melanocephala,–,–,S,F,F,F,1,,,,,,,,
630620a O. arctica ssp. arctica,–,R,F,F,F,R,1,,,,,,,,
630620b O. arctica ssp. taimyrensis,–,?,F,F,F,S,1,,,,,,,,
630621 O. tichomirovii,–,–,R,R,–,–,1,1,,,,,,,
630622 O. terrae–novae,–,–,–,R,S,S,1,,,,,,,,
630623a O. leucantha ssp. subarctica,–,–,–,–,S,S,1,,,,,,,,
630623b O. leucantha ssp. tschukotcensis,–,–,–,R,F,F,1,,,,,,,,
630624 O. katangensis,–,–,–,–,R,R,1,,,,,,,,
630625a O. sordida ssp. sordida,–,R,F,F,F,F,1,,,,,,,,
630625b O. sordida ssp. arctolenensis,–,–,–,–,R,–,1,1,,,,,,,
630625c O. sordida ssp. schamurinii,–,–,R,R,?,–,1,1,,,,,,,
630626 O. beringensis,–,–,–,R,–,–,1,1,,,,,,,
630627 O. jordalii,–,–,–,–,F,S,1,,,,,,,,
630628 O. varians,–,–,–,R,S,F,1,,,,,,,,
630629 O. schmorgunoviae,–,–,–,–,R,R,1,,,,,,,,
630630 O. sverdrupii,–,–,–,R,–,–,1,1,,,,,,,
630631 O. wrangelii,–,–,R,R,–,–,1,1,,,,,,,
630632 O. splendens,–,–,–,–,R,F,1,,,,,,,,
630633 O. bellii,–,–,S,S,R,–,1,1,,,,,,,
630634 O. tananensis,–,–,–,–,b,S,1,,1,,,,,,
630635 O. putoranica,–,–,–,–,R,R,1,,,,,,,,
630636 O. uniflora,–,–,R,R,–,–,1,1,,,,,,,
630637 O. vasskovskyi,–,–,–,R,R,S,1,,,,,,,,
630638 O. inopinata,–,–,–,–,R,R,1,,,,,,,,
630639 O. kateninii,–,–,–,R,–,–,1,1,,,,,,,
630640 O. viscida,–,–,–,–,R,F,1,,,,,,,,
630641 O. borealis,–,–,–,R,F,S,1,,,,,,,,
630642 O. glutinosa,–,–,–,S,S,F,1,,,,,,,,
630643 O. hudsonica,–,–,R,F,F,R,1,,,,,,,,
630644a O. middendorffii ssp. middendorffii,–,–,R,F,F,?,1,?,,,,,,,
630644b O. middendorffii ssp. orulganica,–,–,–,–,R,S,1,,,,,,,,
630644c O. middendorffii ssp. submiddendorffii,–,–,R,R,R,–,1,1,,,,,,,
630644d O. middendorffii ssp. coerulescens,–,–,–,R,R,R,1,,,,,,,,
630644e O. middendorffii ssp. schmidtii,–,–,–,–,R,–,1,1,,,,,,,
630644f O. middendorffii ssp. anadyrensis,–,–,?,S,S,R,1,,,,,,,,
